00h11m34s	+08d10m
00h23m16s	+09d23m
00h30m27s	+04d51m
00h48m33s	+34d12m
00h50m31s	+03d48m
00h51m30s	+04d22m
01h37m23s	+16d54m
01h46m15s	+31d04m
01h52m23s	+09d48m
01h56m01s	+04d02m
01h58m29s	+21d08m
02h20m50s	+36d22m
02h29m03s	+20d58m
02h41m46s	+16d04m
02h44m51s	+14d27m
02h51m08s	+26d05m
03h03m00s	+22d48m
03h04m33s	+19d32m
03h29m08s	+16d54m
03h37m43s	+17d15m
03h48m43s	+04d32m
03h57m52s	+32d05m
04h07m54s	+16d07m
04h17m43s	+35d45m
04h21m30s	+32d40m
04h35m51s	+27d49m
04h53m45s	+15d59m
04h57m06s	+23d34m
05h09m24s	+08d57m
05h17m17s	+22d12m
05h25m56s	+11d15m
05h28m52s	+22d00m
05h33m25s	+04d02m
05h34m31s	+22d00m
05h38m25s	+28d17m
05h40m37s	+32d07m
05h43m09s	+23d29m
05h44m12s	+20d50m
05h46m28s	+24d41m
05h50m28s	+09d51m
05h54m05s	+31d07m
05h57m31s	+15d50m
06h05m00s	+37d00m
06h08m49s	+00d39m
06h09m58s	+21d30m
06h11m00s	+37d18m
06h11m16s	+30d16m
06h11m18s	+04d06m
06h11m18s	+14d36m
06h12m48s	+37d21m
06h13m12s	+37d31m
06h14m17s	+22d30m
06h21m00s	+25d00m
06h21m11s	+03d36m
06h21m22s	+10d02m
06h22m10s	+37d49m
06h23m46s	+03d40m
06h25m45s	+10d16m
06h27m13s	+16d12m
06h27m44s	+07d06m
06h27m53s	+06d49m
06h28m36s	+09d09m
06h29m05s	+24d15m
06h30m04s	+19d37m
06h31m27s	+10d37m
06h31m52s	+06d46m
06h33m44s	+06d32m
06h33m54s	+17d46m
06h35m18s	+05d33m
06h46m30s	+09d05m
06h47m15s	+09d13m
06h58m15s	+00d22m
06h59m48s	+14d14m
07h11m36s	+09d31m
07h51m09s	+18d07m
07h54m40s	+32d31m
08h06m05s	+08d17m
08h15m08s	+09d39m
08h23m09s	+01d59m
08h24m16s	+00d27m
08h26m51s	+26d37m
08h37m05s	+06d10m
08h43m33s	+07d18m
08h48m53s	+16d43m
09h22m14s	+06d38m
09h27m45s	+23d45m
09h28m43s	+30d37m
09h28m44s	+06d14m
09h43m30s	+16d31m
09h43m32s	+22d53m
09h46m07s	+09d51m
09h47m21s	+27d40m
09h53m09s	+07d55m
10h10m00s	+15d51m
10h22m57s	+10d01m
10h23m47s	+00d38m
10h38m26s	+00d32m
10h46m43s	+03d04m
10h48m43s	+23d39m
11h36m03s	+15d51m
11h42m00s	+01d19m
12h38m23s	+21d52m
12h39m40s	+24d53m
12h46m49s	+22d53m
13h00m03s	+12d40m
13h01m38s	+08d33m
13h08m48s	+21d27m
13h12m00s	+00d51m
13h12m55s	+18d10m
13h13m23s	+09d31m
13h42m10s	+28d22m
13h42m11s	+28d22m
13h42m11s	+28d22m
13h42m11s	+28d22m
14h04m36s	+11d59m
14h11m18s	+25d51m
14h33m30s	+00d28m
14h53m45s	+19d02m
15h03m54s	+21d11m
15h18m31s	+02d05m
15h18m32s	+02d04m
15h18m33s	+02d05m
15h18m34s	+02d04m
15h18m34s	+02d04m
15h32m10s	+27d45m
15h37m09s	+11d55m
15h38m06s	+23d45m
15h43m38s	+09d29m
15h49m40s	+21d13m
15h54m17s	+18d04m
16h03m34s	+18d51m
16h05m18s	+32d49m
16h12m23s	+20d08m
16h14m40s	+07d37m
16h27m18s	+14d19m
16h30m00s	+37d00m
16h35m25s	+24d18m
16h40m16s	+22d24m
16h41m40s	+36d27m
16h41m41s	+36d27m
16h41m41s	+36d27m
16h41m41s	+36d27m
16h41m41s	+36d27m
16h45m34s	+10d12m
16h49m44s	+25d33m
16h52m03s	+26d51m
16h56m41s	+00d26m
17h09m05s	+23d13m
17h13m49s	+07d47m
17h17m56s	+03d11m
17h20m01s	+21d50m
17h20m55s	+00d40m
17h21m57s	+35d24m
17h36m54s	+05d48m
17h38m25s	+04d20m
17h38m53s	+03d33m
17h39m17s	+06d12m
17h40m07s	+13d11m
17h40m25s	+10d00m
17h41m31s	+13d51m
17h41m53s	+27d58m
17h43m16s	+05d29m
17h45m33s	+10d17m
17h46m00s	+22d45m
17h46m06s	+25d40m
17h49m29s	+16d24m
17h50m40s	+07d33m
17h52m35s	+23d59m
17h56m17s	+18d22m
17h58m25s	+30d30m
18h02m27s	+01d28m
18h02m44s	+03d38m
18h05m10s	+03d06m
18h05m55s	+06d14m
18h06m52s	+10d23m
18h07m25s	+04d05m
18h07m51s	+07d56m
18h08m19s	+00d34m
18h10m37s	+17d44m
18h11m20s	+07d02m
18h12m53s	+02d26m
18h13m38s	+18d22m
18h14m42s	+11d30m
18h19m56s	+13d05m
18h21m13s	+17d15m
18h21m38s	+01d55m
18h22m14s	+11d20m
18h22m18s	+07d05m
18h23m30s	+05d50m
18h24m05s	+10d17m
18h25m15s	+00d04m
18h28m28s	+06d25m
18h28m53s	+13d59m
18h29m34s	+24d56m
18h29m47s	+00d00m
18h32m50s	+00d29m
18h34m27s	+10d44m
18h37m07s	+12d21m
18h37m28s	+00d53m
18h38m43s	+16d50m
18h39m00s	+15d00m
18h40m34s	+02d14m
18h41m17s	+01d30m
18h41m55s	+09d12m
18h42m10s	+06d38m
18h42m17s	+03d58m
18h42m29s	+13d32m
18h42m30s	+02d57m
18h43m26s	+20d24m
18h44m11s	+00d35m
18h44m40s	+01d15m
18h44m54s	+14d54m
18h45m08s	+06d23m
18h46m26s	+09d19m
18h46m43s	+00d51m
18h48m30s	+12d50m
18h48m42s	+03d51m
18h48m43s	+08d26m
18h48m54s	+06d04m
18h48m56s	+06d47m
18h49m03s	+04d09m
18h49m34s	+24d23m
18h49m44s	+01d27m
18h50m01s	+01d24m
18h50m09s	+15d32m
18h50m23s	+04d23m
18h50m35s	+13d35m
18h50m41s	+02d42m
18h50m45s	+00d26m
18h51m03s	+04d18m
18h51m09s	+02d33m
18h51m13s	+12d59m
18h51m52s	+01d18m
18h52m27s	+00d32m
18h52m32s	+03d05m
18h52m38s	+00d40m
18h52m41s	+00d13m
18h52m42s	+00d08m
18h52m46s	+00d33m
18h53m00s	+03d00m
18h53m04s	+05d05m
18h53m22s	+08d53m
18h53m29s	+00d11m
18h53m32s	+00d56m
18h53m57s	+13d03m
18h53m58s	+05d45m
18h54m00s	+03d19m
18h54m02s	+03d06m
18h54m29s	+03d17m
18h54m29s	+10d46m
18h55m15s	+05d27m
18h55m17s	+07d00m
18h55m26s	+03d07m
18h55m38s	+03d06m
18h55m41s	+04d22m
18h55m42s	+02d05m
18h56m10s	+01d13m
18h56m26s	+04d04m
18h56m28s	+01d02m
18h56m50s	+02d45m
18h57m00s	+00d57m
18h57m09s	+08d09m
18h57m15s	+05d26m
18h57m16s	+03d00m
18h57m33s	+01d43m
18h57m36s	+09d43m
18h57m40s	+02d10m
18h57m43s	+02d12m
18h58m00s	+02d00m
18h58m17s	+02d15m
18h58m22s	+03d46m
18h58m40s	+03d19m
18h58m53s	+02d41m
18h59m42s	+06d03m
18h59m44s	+15d26m
18h59m45s	+06d01m
18h59m46s	+00d35m
19h00m13s	+04d38m
19h00m18s	+30d53m
19h00m28s	+06d34m
19h00m38s	+02d27m
19h00m50s	+03d08m
19h01m03s	+03d20m
19h01m05s	+06d21m
19h01m10s	+04d13m
19h01m15s	+02d54m
19h01m17s	+04d59m
19h01m26s	+02d34m
19h01m30s	+03d55m
19h01m31s	+03d31m
19h01m32s	+00d26m
19h01m32s	+04d35m
19h01m34s	+01d56m
19h01m38s	+07d16m
19h01m42s	+05d11m
19h01m48s	+13d06m
19h01m52s	+01d24m
19h01m57s	+05d10m
19h01m59s	+03d00m
19h02m00s	+02d00m
19h02m13s	+07d23m
19h02m42s	+05d56m
19h02m50s	+02d48m
19h02m50s	+06d16m
19h03m00s	+04d15m
19h03m05s	+03d27m
19h03m20s	+06d01m
19h03m29s	+01d35m
19h03m52s	+22d25m
19h03m55s	+09d25m
19h03m55s	+06d54m
19h04m02s	+10d11m
19h04m03s	+08d00m
19h04m07s	+07d38m
19h04m12s	+00d04m
19h04m31s	+04d12m
19h04m59s	+04d51m
19h05m04s	+06d00m
19h05m06s	+06d16m
19h05m15s	+01d54m
19h05m19s	+09d02m
19h05m28s	+04d00m
19h05m53s	+07d09m
19h06m00s	+07d25m
19h06m11s	+06d49m
19h06m28s	+09d12m
19h06m31s	+07d22m
19h06m35s	+06d41m
19h06m44s	+18d54m
19h06m48s	+00d55m
19h06m48s	+07d46m
19h06m56s	+05d09m
19h06m57s	+04d14m
19h07m00s	+05d00m
19h07m01s	+08d59m
19h07m03s	+06d31m
19h07m10s	+12d47m
19h07m14s	+09d19m
19h07m14s	+03d45m
19h07m17s	+02d55m
19h07m22s	+09d18m
19h07m23s	+05d34m
19h07m37s	+11d49m
