03h04m33s	+19d32m
	55543_D030440+1933
04h35m51s	+27d49m
	55569_D043531+2745
04h57m06s	+23d34m
	55536_D045648+2328
05h09m24s	+08d57m
	55318_D050903+0855
05h43m09s	+23d29m
	55536_D054206+2328
05h44m12s	+20d50m
	55523_D054409+2050
06h28m36s	+09d09m
	55317_D062853+0910
06h30m04s	+19d37m
	55525_D063004+1937
06h31m27s	+10d37m
	55311_D063124+1033
06h46m30s	+09d05m
	55317_D064632+0910
06h47m15s	+09d13m
	55317_D064704+0910
09h47m21s	+27d40m
	57867_D094013+2737
13h42m10s	+28d22m
	56736_D134206+2818
13h42m11s	+28d22m
	56736_D134206+2818
13h42m11s	+28d22m
	56736_D134206+2818
13h42m11s	+28d22m
	56736_D134206+2818
16h40m16s	+22d24m
	57865_D164000+2223
17h20m01s	+21d50m
	55526_D172002+2157
21h13m04s	+27d54m
	56608_D211304+2754
23h07m41s	+22d25m
	57866_D230257+2216
23h17m57s	+21d49m
	55546_D231816+2153
